b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,1.0,0.0,0,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,tit_for_two_tats,same,,qwen3-8b-base,0,0.0,0.1,0,48.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,0,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,tit_for_two_tats,same,,qwen3-8b-base,0,0.05263157894736842,0.2,1,54.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,1.0,0,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,True
4.0,2.0,1.0,1.0,2,20,tit_for_two_tats,same,,qwen3-8b-base,0,0.8947368421052632,1.0,1,86.0,0.5,True,True
4.0,2.0,1.0,1.0,3,20,tit_for_two_tats,same,,qwen3-8b-base,0,0.42105263157894735,0.5,1,64.0,0.5,True,True
