b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,0.0,0.0,0,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.0,1,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.0,2,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.0,3,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,0,20,tit_for_two_tats,same,,qwen3-8b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,1,20,tit_for_two_tats,same,,qwen3-8b-base,9,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,2,20,tit_for_two_tats,same,,qwen3-8b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.0,3,20,tit_for_two_tats,same,,qwen3-8b-base,10,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,1.0,0.0,0,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,0.0,0.5,0,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.5,1,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.5,2,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.0,0.5,3,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.5,0,20,tit_for_two_tats,same,,qwen3-8b-base,12,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.5,1,20,tit_for_two_tats,same,,qwen3-8b-base,14,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.5,2,20,tit_for_two_tats,same,,qwen3-8b-base,9,1.0,1.0,0,80.0,0.5,False,False
4.0,2.0,0.5,0.5,3,20,tit_for_two_tats,same,,qwen3-8b-base,13,0.95,1.0,0,82.0,0.5,False,False
4.0,2.0,1.0,0.5,0,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,tit_for_two_tats,same,,qwen3-8b-base,0,1.0,1.0,0,80.0,0.5,True,False
4.0,2.0,0.0,1.0,0,20,tit_for_two_tats,same,,qwen3-8b-base,19,1.0,1.0,0,80.0,0.5,False,True
4.0,2.0,0.0,1.0,1,20,tit_for_two_tats,same,,qwen3-8b-base,19,0.9,1.0,0,84.0,0.5,False,True
