b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,0.0,0.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,1.0,0.0,0,0.0,0.5,False,False
4.0,2.0,0.0,0.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,1.0,0.0,0,0.0,0.5,False,False
4.0,2.0,0.0,0.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.05,0.0,0,38.0,0.5,False,False
4.0,2.0,0.0,0.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,1.0,0.0,0,0.0,0.5,False,False
4.0,2.0,0.5,0.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,12,0.5,0.2,0,36.0,0.5,False,False
4.0,2.0,0.5,0.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,9,0.05,0.05,0,42.0,0.5,False,False
4.0,2.0,0.5,0.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,12,0.0,0.0,0,40.0,0.5,False,False
4.0,2.0,0.5,0.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,10,0.65,0.35,0,42.0,0.5,False,False
4.0,2.0,1.0,0.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,1.0,0.95,0,76.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,0.0,0.5,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.5,0.0,0,20.0,0.5,False,False
4.0,2.0,0.0,0.5,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.4,0.0,0,24.0,0.5,False,False
4.0,2.0,0.0,0.5,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.5,0.0,0,20.0,0.5,False,False
4.0,2.0,0.0,0.5,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.25,0.0,0,30.0,0.5,False,False
4.0,2.0,0.5,0.5,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,12,0.6,0.2,0,32.0,0.5,False,False
4.0,2.0,0.5,0.5,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,14,0.25,0.1,0,38.0,0.5,False,False
4.0,2.0,0.5,0.5,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,9,0.15,0.05,0,38.0,0.5,False,False
4.0,2.0,0.5,0.5,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,13,0.2,0.0,0,32.0,0.5,False,False
4.0,2.0,1.0,0.5,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,1.0,0.95,0,76.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,0.0,1.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.6,0.0,0,16.0,0.5,False,True
4.0,2.0,0.0,1.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.15,0.0,0,34.0,0.5,False,True
4.0,2.0,0.0,1.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.8,0.0,0,8.0,0.5,False,True
4.0,2.0,0.0,1.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,19,0.6,0.0,0,16.0,0.5,False,True
4.0,2.0,0.5,1.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,11,0.4,0.1,0,32.0,0.5,False,True
4.0,2.0,0.5,1.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,9,0.25,0.1,0,38.0,0.5,False,True
4.0,2.0,0.5,1.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,11,0.25,0.1,0,38.0,0.5,False,True
4.0,2.0,0.5,1.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,12,0.5,0.2,0,36.0,0.5,False,True
4.0,2.0,1.0,1.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,1.0,0.95,0,76.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.1,0.1,0,44.0,0.5,True,True
