game,memory,seed,num_rounds,opponent_strategy,model,cooperation_rate,opp_cooperation_rate,parse_failures,mean_payoff
ipd,1,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.4,0.4,0,2.2
ipd,1,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.35,0.35,0,2.05
ipd,2,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.25,0.25,0,1.75
ipd,2,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.9,0.9,0,2.9
ipd,3,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.2,0.2,0,1.6
ipd,3,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.35,0.35,0,2.05
ipd,4,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.3,0.3,0,1.9
ipd,4,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.1,0.1,0,1.3
ipd,6,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.2,0.2,0,1.6
ipd,6,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.1,0.1,0,1.3
chicken,1,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.5,0.5,0,3.0
chicken,1,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.5,0.5,0,3.0
chicken,2,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,1.95
chicken,2,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.35,0.35,0,2.1
chicken,3,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.4,0.4,0,2.4
chicken,3,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.4,0.4,0,2.4
chicken,4,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.4,0.4,0,2.4
chicken,4,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.2,0.2,0,1.2
chicken,6,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.75,0.7,0,2.6
chicken,6,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,1.95
staghunt,1,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.4,0.4,0,1.4
staghunt,1,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,1.45
staghunt,2,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,1.45
staghunt,2,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.4,0.4,0,1.55
staghunt,3,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.05,0.05,0,1.05
staghunt,3,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.25,0.25,0,1.25
staghunt,4,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.3,0.3,0,1.3
staghunt,4,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,1.6
staghunt,6,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.1,0.1,0,1.1
staghunt,6,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.05,0.05,0,1.05
harmony,1,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,2.25
harmony,1,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.5,0.5,0,2.5
harmony,2,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.55,0.55,0,2.75
harmony,2,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.35,0.35,0,1.75
harmony,3,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.45,0,2.25
harmony,3,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.45,0.4,0,2.1
harmony,4,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.85,0.8,0,4.1
harmony,4,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.35,0.3,0,1.6
harmony,6,0,20,suspicious_tit_for_tat,qwen3-32b-base,0.15,0.15,0,0.75
harmony,6,1,20,suspicious_tit_for_tat,qwen3-32b-base,0.3,0.3,0,1.5
