b,c,w,q,seed,num_rounds,opponent_strategy,swap_mode,memory,model,n_swaps,cooperation_rate,opp_cooperation_rate,parse_failures,total_payoff_raw,c_over_b,direct_reciprocity_favored,indirect_reciprocity_favored
4.0,2.0,1.0,0.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05555555555555555,0.05,2,42.0,0.5,True,False
4.0,2.0,1.0,0.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.0,1,40.0,0.5,True,False
4.0,2.0,1.0,0.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.0,0,40.0,0.5,True,False
4.0,2.0,1.0,0.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.0,0,40.0,0.5,True,False
4.0,2.0,1.0,0.5,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,False
4.0,2.0,1.0,0.5,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05263157894736842,0.05,1,42.0,0.5,True,False
4.0,2.0,1.0,0.5,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05263157894736842,0.05,1,42.0,0.5,True,False
4.0,2.0,1.0,0.5,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.0,1,40.0,0.5,True,False
4.0,2.0,1.0,1.0,0,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.0,1,40.0,0.5,True,True
4.0,2.0,1.0,1.0,1,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05263157894736842,0.05,1,42.0,0.5,True,True
4.0,2.0,1.0,1.0,2,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.05,0.05,0,42.0,0.5,True,True
4.0,2.0,1.0,1.0,3,20,suspicious_tit_for_tat,same,,qwen3-8b-base,0,0.0,0.0,1,40.0,0.5,True,True
